Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,California!!Estimate,California!!Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New York!!Estimate,New York!!Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Washington!!Estimate,Washington!!Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error
Total:,"3,474,924","±5,963","489,218","±1,732","5,053,656","±3,052","2,057,624","±5,056","26,866,773","±6,486","4,084,004","±4,595","2,545,188","±2,643","724,041",±851,"479,231",±460,"16,104,410","±6,772","7,332,980","±9,439","1,023,843","±1,861","1,280,178","±3,552","8,692,839","±4,340","4,584,460","±5,286","2,159,511","±3,801","1,944,891","±4,295","3,091,499","±4,420","3,096,121","±6,621","1,030,141","±2,323","4,286,216","±3,465","4,947,384","±3,082","6,978,952","±4,408","3,918,565","±4,418","1,963,322","±4,818","4,236,010","±4,990","785,438","±2,895","1,300,094","±3,208","2,223,852","±2,501","1,024,780","±1,913","6,482,223","±3,783","1,453,129","±5,689","13,892,241","±4,990","7,372,120","±8,768","514,786","±2,634","8,130,929","±5,579","2,661,141","±3,981","3,043,930","±3,419","9,151,744","±5,452","778,191","±1,669","3,664,922","±6,239","605,735","±2,144","4,868,110","±6,286","19,597,383","±12,252","2,042,912","±3,376","467,643","±1,646","5,978,782","±8,046","5,470,209","±3,793","1,262,566","±3,566","4,088,500","±3,825","399,796","±2,780",,
    Less than high school graduate,"389,297","±10,696","32,669","±3,338","548,248","±13,777","223,437","±7,461","4,115,683","±38,059","284,568","±11,415","216,035","±9,746","57,924","±3,998","30,355","±3,241","1,622,930","±25,951","768,936","±15,797","72,742","±4,724","102,284","±5,378","834,379","±17,088","449,388","±11,701","141,021","±6,335","154,181","±6,481","340,059","±9,902","393,283","±12,554","55,168","±3,721","367,917","±12,192","428,752","±12,395","569,722","±11,317","233,881","±9,342","243,526","±8,618","357,617","±9,960","46,751","±3,060","93,708","±4,592","279,791","±10,251","56,005","±4,021","602,004","±14,579","174,301","±8,340","1,681,213","±27,127","722,720","±15,087","31,578","±3,059","670,433","±19,106","277,868","±7,991","254,596","±9,634","715,110","±16,400","73,992","±5,248","349,004","±11,405","41,373","±3,140","469,512","±13,188","2,722,008","±32,152","142,635","±7,308","23,468","±2,048","505,775","±14,158","428,495","±12,856","137,151","±6,159","266,497","±7,147","25,074","±3,120",,
    High school graduate (includes equivalency),"1,057,155","±15,767","142,455","±6,252","1,202,946","±17,012","705,670","±13,019","5,506,855","±44,949","823,109","±14,508","660,047","±12,734","204,385","±7,697","64,543","±4,412","4,363,609","±38,870","1,979,843","±27,436","273,910","±8,144","333,105","±8,876","2,187,110","±24,850","1,472,890","±18,976","637,844","±10,658","491,928","±10,399","1,002,671","±15,723","1,006,184","±16,682","310,778","±8,673","1,009,588","±16,094","1,136,350","±19,619","1,962,345","±18,856","917,132","±12,547","604,163","±11,643","1,275,978","±17,420","217,592","±6,337","326,031","±7,960","620,161","±14,350","277,802","±8,385","1,635,078","±19,609","374,107","±10,742","3,413,879","±32,922","1,834,892","±23,837","131,842","±4,432","2,597,720","±22,502","813,545","±10,471","690,248","±13,712","3,019,642","±27,778","192,219","±8,597","1,015,742","±17,831","177,171","±5,075","1,523,487","±20,845","4,733,230","±46,396","449,458","±10,436","121,782","±4,459","1,431,624","±20,582","1,176,424","±17,175","484,166","±9,708","1,209,135","±14,551","109,092","±6,019",,
    Some college or associate's degree,"1,027,681","±16,488","164,448","±5,830","1,636,323","±21,218","605,710","±12,208","7,308,294","±48,239","1,101,195","±15,848","602,702","±12,641","197,348","±8,002","71,059","±5,271","4,599,453","±34,933","2,040,087","±22,905","314,487","±8,737","431,621","±8,384","2,395,932","±27,952","1,305,170","±19,502","682,840","±11,074","606,239","±10,202","887,433","±15,222","856,548","±14,270","292,637","±7,920","1,030,006","±17,404","1,074,573","±18,349","2,205,033","±22,629","1,233,841","±14,864","629,447","±12,807","1,238,398","±17,356","249,353","±6,895","429,838","±7,437","722,688","±14,250","267,703","±7,455","1,423,533","±21,774","462,124","±11,286","3,240,588","±29,198","2,166,509","±20,677","187,525","±5,749","2,262,397","±22,668","810,811","±10,396","992,847","±16,285","2,207,299","±21,783","203,568","±8,118","1,105,673","±21,123","195,874","±5,437","1,361,151","±18,687","5,490,737","±45,663","675,770","±12,882","115,554","±4,712","1,519,349","±17,961","1,705,607","±20,328","328,163","±8,065","1,254,447","±13,212","147,464","±5,354",,
    Bachelor's degree,"609,316","±12,278","94,168","±4,883","1,032,052","±17,474","323,961","±9,190","6,056,169","±46,367","1,177,891","±16,028","584,999","±10,885","151,894","±6,552","126,678","±5,934","3,445,343","±30,030","1,519,625","±22,167","226,124","±6,613","274,409","±8,549","1,952,990","±22,146","869,217","±13,163","463,740","±8,923","426,910","±9,464","508,620","±11,344","525,044","±12,490","229,764","±7,599","996,167","±15,644","1,252,187","±15,499","1,361,139","±17,234","995,083","±12,886","297,480","±8,427","835,865","±14,833","179,708","±6,173","293,346","±7,356","390,872","±12,563","252,073","±7,855","1,679,895","±17,944","246,178","±7,957","3,097,409","±30,892","1,678,483","±21,415","115,034","±5,016","1,578,535","±18,163","495,467","±9,850","675,825","±13,376","1,899,494","±21,293","185,883","±8,768","725,469","±15,367","131,481","±5,182","958,365","±18,509","4,242,031","±42,762","505,215","±10,875","114,633","±4,896","1,409,942","±18,123","1,302,707","±17,891","188,793","±7,491","885,548","±11,612","71,812","±4,527",,
    Graduate or professional degree,"391,475","±9,973","55,478","±4,255","634,087","±13,644","198,846","±8,534","3,879,772","±31,932","697,241","±14,357","481,405","±12,122","112,490","±5,604","186,596","±5,521","2,073,075","±25,429","1,024,489","±20,102","136,580","±5,439","138,759","±5,224","1,322,428","±20,565","487,795","±10,852","234,066","±6,335","265,633","±7,918","352,716","±9,866","315,062","±11,524","141,794","±6,918","882,538","±16,204","1,055,522","±16,495","880,713","±13,191","538,628","±11,066","188,706","±8,074","528,152","±12,321","92,034","±4,845","157,171","±6,620","210,340","±8,094","171,197","±5,818","1,141,713","±18,155","196,419","±7,066","2,459,152","±30,763","969,516","±18,256","48,807","±3,358","1,021,844","±15,964","263,450","±6,752","430,414","±11,477","1,310,199","±19,614","122,529","±6,709","469,034","±11,872","59,836","±3,656","555,595","±12,808","2,409,377","±35,943","269,834","±8,647","92,206","±4,404","1,112,092","±17,357","856,976","±16,313","124,293","±6,151","472,873","±9,954","46,354","±3,753",,
    Born in state of residence:,"2,190,053","±17,110","141,948","±4,599","1,269,038","±18,788","1,100,449","±12,566","11,880,658","±55,189","1,225,406","±19,812","1,162,300","±15,611","234,783","±7,077","120,504","±6,265","3,630,209","±37,638","3,203,475","±32,320","483,836","±9,448","425,609","±9,074","5,182,695","±26,421","2,827,256","±18,824","1,441,826","±11,444","1,012,793","±11,357","1,944,908","±15,655","2,288,026","±16,097","557,629","±9,800","1,610,992","±18,174","2,581,195","±18,080","5,028,711","±17,793","2,409,753","±14,471","1,301,674","±12,455","2,540,238","±15,612","341,452","±7,576","752,531","±9,285","273,620","±8,944","336,147","±8,028","2,688,575","±25,680","645,193","±12,460","7,611,574","±36,563","3,368,527","±30,117","301,486","±5,858","5,730,603","±24,462","1,393,243","±11,090","1,062,775","±14,724","6,142,614","±24,758","366,884","±7,363","1,695,296","±18,223","343,482","±6,284","2,421,983","±22,117","9,444,735","±57,544","1,034,859","±13,093","192,448","±5,260","2,363,160","±19,851","1,974,031","±22,929","814,379","±9,406","2,684,878","±16,173","143,197","±5,302",,
        Less than high school graduate,"259,353","±9,025","12,596","±1,842","137,661","±7,593","106,073","±4,864","915,899","±17,323","80,189","±5,984","61,472","±4,976","18,768","±2,471","13,318","±2,685","335,285","±11,453","374,936","±10,706","25,512","±2,682","27,248","±2,945","310,951","±10,888","248,577","±8,941","68,197","±3,799","56,422","±4,679","226,937","±8,185","294,747","±10,493","34,913","±2,947","129,916","±7,011","142,843","±7,003","355,909","±9,555","93,565","±4,590","171,110","±8,371","213,698","±7,361","23,313","±2,084","30,802","±2,448","25,694","±3,391","23,041","±2,317","139,694","±8,090","74,020","±5,327","558,205","±16,366","359,578","±12,068","16,434","±1,735","429,717","±13,721","119,529","±4,616","75,931","±4,790","413,881","±11,492","25,951","±3,058","207,729","±9,525","23,457","±2,041","259,854","±9,522","919,077","±20,868","48,371","±4,077","12,949","±1,456","239,313","±7,429","117,976","±6,326","97,933","±5,327","132,580","±4,620","8,546","±1,704",,
        High school graduate (includes equivalency),"736,288","±13,257","56,908","±3,657","350,341","±11,127","413,819","±10,005","2,788,940","±31,858","330,061","±10,342","361,854","±11,464","81,151","±5,274","36,600","±3,974","1,111,623","±21,980","1,086,752","±22,440","155,452","±7,546","125,400","±6,110","1,467,717","±20,125","1,005,509","±14,931","463,591","±9,790","283,818","±8,124","689,207","±12,119","795,655","±14,966","207,091","±7,164","518,661","±13,460","690,449","±14,974","1,508,623","±16,679","638,555","±9,739","411,936","±10,632","840,005","±14,538","109,428","±5,324","199,599","±6,747","93,385","±5,488","111,590","±6,540","773,980","±14,075","205,466","±8,342","2,031,080","±25,617","1,024,974","±17,526","78,834","±3,962","1,991,750","±21,014","456,317","±8,195","290,555","±8,690","2,277,442","±24,012","98,209","±5,602","566,077","±13,060","109,116","±4,775","906,938","±15,228","2,692,954","±36,328","254,012","±8,988","73,076","±3,947","768,345","±16,365","520,144","±11,827","338,106","±8,856","884,851","±12,502","42,370","±3,992",,
        Some college or associate's degree,"658,286","±12,570","44,342","±3,409","454,959","±12,939","322,799","±10,129","4,083,104","±37,965","375,723","±10,842","309,719","±9,724","68,938","±4,229","32,429","±4,120","1,105,244","±23,217","926,845","±18,736","151,989","±6,892","153,750","±5,153","1,643,693","±21,813","832,897","±14,954","475,396","±8,695","344,811","±8,007","566,207","±12,902","639,748","±11,666","171,542","±7,121","444,469","±10,828","673,334","±12,732","1,704,646","±18,716","835,385","±11,771","422,501","±11,080","756,885","±12,952","109,937","±4,399","265,577","±6,959","88,425","±4,214","94,442","±5,064","662,547","±16,948","220,160","±9,813","2,059,386","±25,440","1,078,329","±18,269","114,659","±4,577","1,663,577","±21,264","428,529","±9,078","386,709","±10,228","1,533,408","±19,870","114,470","±5,248","513,272","±13,454","112,267","±4,545","659,794","±14,094","3,005,275","±34,939","375,695","±9,634","51,236","±3,178","680,114","±13,622","697,703","±14,391","203,177","±6,731","864,334","±12,539","55,592","±3,640",,
        Bachelor's degree,"342,166","±9,233","19,194","±2,541","219,410","±8,506","163,704","±7,114","2,717,809","±31,873","305,974","±10,299","255,043","±8,239","43,309","±3,746","21,710","±2,951","721,363","±17,462","505,536","±15,027","100,319","±4,848","82,712","±4,519","1,110,229","±16,702","507,933","±11,791","305,374","±7,756","213,204","±6,057","274,200","±8,268","362,270","±11,328","98,718","±4,434","319,809","±9,009","660,780","±14,013","939,197","±14,980","589,258","±10,561","181,732","±6,210","468,102","±11,053","71,263","±4,047","179,076","±6,319","43,584","±4,356","72,327","±4,737","721,751","±14,020","91,842","±5,100","1,655,931","±21,413","625,119","±13,310","66,574","±3,624","1,058,029","±14,807","265,317","±7,454","213,549","±8,384","1,214,451","±17,716","83,162","±5,677","256,761","±9,552","72,731","±3,694","391,491","±12,156","1,928,091","±30,520","242,247","±7,972","37,010","±3,084","438,809","±13,022","432,339","±13,140","108,490","±6,108","559,853","±10,572","24,838","±2,387",,
        Graduate or professional degree,"193,960","±6,955","8,908","±1,514","106,667","±5,693","94,054","±5,985","1,374,906","±18,668","133,459","±5,859","174,212","±6,490","22,617","±2,311","16,447","±2,428","356,694","±11,392","309,406","±10,798","50,564","±2,901","36,499","±2,819","650,105","±14,647","232,340","±7,093","129,268","±5,354","114,538","±5,274","188,357","±7,748","195,606","±9,282","45,365","±3,359","198,137","±8,034","413,789","±9,341","520,336","±9,221","252,990","±7,566","114,395","±6,472","261,548","±9,027","27,511","±2,628","77,477","±4,383","22,532","±2,575","34,747","±2,994","390,603","±10,674","53,705","±3,773","1,306,972","±19,424","280,527","±10,564","24,985","±2,493","587,530","±10,357","123,551","±4,424","96,031","±5,375","703,432","±11,451","45,092","±3,259","151,457","±7,474","25,911","±2,471","203,906","±7,172","899,338","±20,582","114,534","±4,472","18,177","±2,014","236,579","±7,856","205,869","±7,749","66,673","±4,440","243,260","±8,066","11,851","±1,676",,
